Ask,AVolume,Bid,BVolume,Exchange,Ticker,TimeStamp,Spread
0.08302,3000.0016,0.082653,478526.6647,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000367
0.083024,3000.0021,0.082645,12658.7942,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000379
0.082816,1496,0.082804,1148,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,1.20E-05
0.082819,824,0.082798,1384,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,2.10E-05
0.082831,1716,0.082793,1177,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,3.80E-05
0.082837,1353,0.082781,882,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,5.60E-05
0.082847,918,0.082779,584,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,6.80E-05
0.082849,1590,0.082771,1137,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,7.80E-05
0.08285,1493,0.082766,670,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,8.40E-05
0.082852,589,0.082744,1474,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,0.000108
0.082866,1351,0.082738,1320,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,0.000128
0.082871,934,0.082736,1070,BitMart,DOGE/USDT,2022-11-09T11:13:40.092Z,0.000135
